title	author	translator	publish	time	price	grade	commentnumber
摆渡人	[英]克莱儿·麦克福尔	 付强	 百花洲文艺出版社	2015	36.00	6.3	46003
黄金时代	王小波		 陕西师范大学出版社	2009	23.00元	8.9	30993
明朝那些事儿（伍）                                   : 帝国飘摇	当年明月		 中国友谊出版公司	2008	28.80	8.8	30077
骆驼祥子	老舍		 人民文学出版社	2000	12.00	8.2	33840
盗墓笔记3                                   : 云顶天宫	南派三叔		 中国友谊出版公司	2007	26.80元	8.4	31006
麦琪的礼物                                   : 欧·亨利短篇小说经典	[美] 欧·亨利	 张经浩	 上海社会科学院出版社	2003	25.00元	8.6	30227
格林童话全集	格林兄弟	 魏以新	 人民文学出版社	1994	21.45元	8.9	29216
如何阅读一本书	[美] 莫提默·J. 艾德勒	 郝明义	 商务印书馆	2004	38.00元	8.4	33154
当我们谈论爱情时我们在谈论什么	[美] 雷蒙德·卡佛	 小二	 译林出版社	2010	22.00元	7.8	32991
尘埃落定	阿来		 人民文学出版社	1998	22.0	8.4	30692
水仙已乘鲤鱼去	张悦然		 作家出版社	2005	19.00元	7.8	30918
历史深处的忧虑                                   : 近距离看美国之一	林达		 生活·读书·新知三联书店	1997	19.00元	9.0	28399
嫌疑人X的献身	东野圭吾	 刘子倩	 南海出版公司	2014	35.00元	9.0	31648
小时代2.0虚铜时代	郭敬明		 长江文艺出版社	2010	26.80元	6.3	35576
金锁记	张爱玲		 哈尔滨出版社	2005	13.5元	8.5	29940
你好，旧时光（上 下）	八月长安		 新世界出版社	2009	39.80元	8.8	29354
东霓	笛安		 长江文艺出版社	2010	26.80元	8.1	30128
海贼王                                   : ONE PIECE	尾田荣一郎	 董科	 浙江人民美术出版社	2007	7.50元	9.5	26464
那些回不去的年少时光	桐华		 江苏文艺出版社	2010	23.80元	8.5	29176
孩子你慢慢来	龙应台		 生活·读书·新知三联书店	2009	28.00元	8.8	29445
橙                                   : 陪安东尼度过漫长岁月 Ⅱ	安东尼		 长江文艺出版社	2010	28.80元	8.2	28424
悲惨世界（上中下）	[法] 雨果	 李丹	 人民文学出版社	1992	66.00元	8.9	27385
盗墓笔记4                                   : 蛇沼鬼城	南派三叔		 中国友谊出版公司	2008	32.80元	8.4	28799
巴别塔之犬	[美] 卡罗琳·帕克丝特	 何致和	 南海出版公司	2007	22.00元	7.7	29771
香水                                   : 一个谋杀犯的故事	[德] 帕·聚斯金德	 李清华	 上海译文出版社	2005	20.00元	8.5	27850
梦里花落知多少	三毛		 北京十月文艺出版社	2007	28.00元	8.9	28487
一只特立独行的猪	王小波		 北方文艺出版社	2006	18.80元	8.8	28935
